"filename", "language", "SQLite", "Markdown", "JSON", "Python", "toml", "Shell Script", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/details.md", "Markdown", 0, -37, 0, 0, 0, 0, 0, -6, -43
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff-details.md", "Markdown", 0, -25, 0, 0, 0, 0, 0, -6, -31
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff.md", "Markdown", 0, -22, 0, 0, 0, 0, 0, -7, -29
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, -1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.md", "Markdown", 0, -26, 0, 0, 0, 0, 0, -7, -33
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-14_15-47-38/details.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 6, 75
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-14_15-47-38/diff-details.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 6, 55
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-14_15-47-38/diff.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 7, 39
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-14_15-47-38/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-14_15-47-38/results.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 7, 41
"/home/lars/Projects/music-downloader/README.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 24, 60
"/home/lars/Projects/music-downloader/assets/database_structure.sql", "SQLite", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/build.sh", "Shell Script", 0, 0, 0, 0, 0, 14, 3, 6, 23
"/home/lars/Projects/music-downloader/notes.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/home/lars/Projects/music-downloader/pyproject.toml", "toml", 0, 0, 0, 0, 18, 0, 0, 3, 21
"/home/lars/Projects/music-downloader/setup.py", "Python", 0, 0, 0, 28, 0, 0, 1, 3, 32
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/lars/Projects/music-downloader/src/__main__.py", "Python", 0, 0, 0, -82, 0, 0, -3, -26, -111
"/home/lars/Projects/music-downloader/src/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/lars/Projects/music-downloader/src/audio/song.py", "Python", 0, 0, 0, -3, 0, 0, 0, -1, -4
"/home/lars/Projects/music-downloader/src/download.py", "Python", 0, 0, 0, -56, 0, 0, -11, -18, -85
"/home/lars/Projects/music-downloader/src/download_links.py", "Python", 0, 0, 0, -30, 0, 0, -11, -15, -56
"/home/lars/Projects/music-downloader/src/lyrics/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
