Date : 2022-11-15 14:12:28
Directory : /home/lars/Projects/music-downloader
Total : 64 files,  2415 codes, 227 comments, 652 blanks, all 3294 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/lars/Projects/music-downloader/.idea/modules.xml                                  | XML              |          9 |          0 |          0 |          9 |
| /home/lars/Projects/music-downloader/.idea/music-downloader.iml                         | XML              |         11 |          0 |          0 |         11 |
| /home/lars/Projects/music-downloader/.idea/vcs.xml                                      | XML              |          6 |          0 |          0 |          6 |
| /home/lars/Projects/music-downloader/README.md                                          | Markdown         |        138 |          0 |         60 |        198 |
| /home/lars/Projects/music-downloader/assets/database_structure.sql                      | SQLite           |         53 |          0 |          6 |         59 |
| /home/lars/Projects/music-downloader/build.sh                                           | Shell Script     |         14 |          3 |          6 |         23 |
| /home/lars/Projects/music-downloader/notes.md                                           | Markdown         |         17 |          0 |          3 |         20 |
| /home/lars/Projects/music-downloader/pyproject.toml                                     | toml             |         18 |          0 |          3 |         21 |
| /home/lars/Projects/music-downloader/requirements.txt                                   | pip requirements |          8 |          0 |          0 |          8 |
| /home/lars/Projects/music-downloader/setup.py                                           | Python           |         28 |          1 |          3 |         32 |
| /home/lars/Projects/music-downloader/src/music_kraken/__init__.py                       | Python           |         80 |          3 |         23 |        106 |
| /home/lars/Projects/music-downloader/src/music_kraken/__main__.py                       | Python           |          3 |          0 |          3 |          6 |
| /home/lars/Projects/music-downloader/src/music_kraken/audio/__init__.py                 | Python           |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/music_kraken/audio/song.py                     | Python           |          3 |          0 |          1 |          4 |
| /home/lars/Projects/music-downloader/src/music_kraken/download.py                       | Python           |         56 |         11 |         18 |         85 |
| /home/lars/Projects/music-downloader/src/music_kraken/download_links.py                 | Python           |         30 |         11 |         15 |         56 |
| /home/lars/Projects/music-downloader/src/music_kraken/lyrics/__init__.py                | Python           |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/music_kraken/lyrics/genius.py                  | Python           |         99 |         38 |         35 |        172 |
| /home/lars/Projects/music-downloader/src/music_kraken/lyrics/lyrics.py                  | Python           |         50 |         19 |         26 |         95 |
| /home/lars/Projects/music-downloader/src/music_kraken/metadata/__init__.py              | Python           |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/music_kraken/metadata/database.py              | Python           |        161 |         66 |         40 |        267 |
| /home/lars/Projects/music-downloader/src/music_kraken/metadata/download.py              | Python           |        254 |         24 |         63 |        341 |
| /home/lars/Projects/music-downloader/src/music_kraken/metadata/object_handeling.py      | Python           |         19 |          0 |          6 |         25 |
| /home/lars/Projects/music-downloader/src/music_kraken/metadata/search.py                | Python           |        253 |         40 |         72 |        365 |
| /home/lars/Projects/music-downloader/src/music_kraken/scraping/__init__.py              | Python           |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/music_kraken/scraping/file_system.py           | Python           |         40 |          0 |         18 |         58 |
| /home/lars/Projects/music-downloader/src/music_kraken/scraping/musify.py                | Python           |        100 |          2 |         35 |        137 |
| /home/lars/Projects/music-downloader/src/music_kraken/scraping/phonetic_compares.py     | Python           |         15 |          0 |          8 |         23 |
| /home/lars/Projects/music-downloader/src/music_kraken/scraping/youtube_music.py         | Python           |         66 |          2 |         19 |         87 |
| /home/lars/Projects/music-downloader/src/music_kraken/url_to_path.py                    | Python           |         35 |          6 |         18 |         59 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/__init__.py                 | Python           |          1 |          1 |          1 |          3 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/object_handeling.py         | Python           |         19 |          0 |          6 |         25 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py        | Python           |         34 |          0 |         15 |         49 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py                   | Python           |         35 |          0 |         11 |         46 |
| /home/lars/Projects/music-downloader/src/music_kraken_cli.py                            | Python           |          3 |          0 |          2 |          5 |
| /home/lars/Projects/music-downloader/src/try-programming-interface.py                   | Python           |          3 |          0 |          2 |          5 |
| Total                                                                                   |                  |      2,415 |        227 |        652 |      3,294 |
+-----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
