"filename", "language", "Python", "Database", "SQLite", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/goof.py", "Python", 42, 0, 0, 2, 10, 54
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 1, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/src/music_kraken/database/__init__.py", "Python", 1, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/src/music_kraken/database/new_database.py", "Python", 74, 0, 0, 11, 18, 103
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/__init__.py", "Python", 4, 0, 0, 0, 1, 5
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/database_object.py", "Python", -28, 0, 0, -7, -13, -48
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/metadata.py", "Python", 245, 0, 0, 52, 50, 347
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/parents.py", "Python", 46, 0, 0, 8, 23, 77
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/song.py", "Python", 3, 0, 0, -9, -10, -16
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/source.py", "Python", 46, 0, 0, 7, 13, 66
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/new_db.sql", "SQLite", 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/id3.py", "Python", 51, 0, 0, 4, 20, 75
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 1, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/src/test.db", "Database", 0, 8, 0, 0, 0, 8
"/home/lars/Projects/music-downloader/src/try_python.py", "Python", 13, 0, 0, 1, 6, 20
"Total", "-", 507, 8, 1, 69, 119, 704
