,id,album,title,artist,album_artist,tracknumber,albumsort,titlesort,isrc,date,year,musicbrainz_artistid,musicbrainz_albumid,musicbrainz_albumartistid,musicbrainz_albumstatus,total_tracks,language,musicbrainz_albumtype,compilation,releasecountry,barcode
15,fda257e0-b508-460e-a974-0629672bd832,Suici.De.pression,...and I Finally Reach My End,['Thy Light'],Thy Light,5,2,5,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
16,eb82bfa5-25ea-4ab6-b20c-bd0e65f0da8c,Suici.De.pression,Suici.De.pression (Introduction to My End),['Thy Light'],Thy Light,1,3,1,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
17,a46b4cbc-5b0c-49f0-bf9a-e58874592b3c,Suici.De.pression,In My Last Mourning...,['Thy Light'],Thy Light,2,3,2,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
18,ae0b021d-f9c0-4dcd-b8a8-68e94ddc2734,Suici.De.pression,A Crawling Worm in a World of Lies,['Thy Light'],Thy Light,3,3,3,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
19,131288b7-b1fe-41c2-8159-2ad946db7ab1,Suici.De.pression,I Am the Bitter Taste of Gall,['Thy Light'],Thy Light,4,3,4,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
20,fda257e0-b508-460e-a974-0629672bd832,Suici.De.pression,...and I Finally Reach My End,['Thy Light'],Thy Light,5,3,5,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
21,66a66604-8d5d-400c-ad3c-182e5ce798fa,No Morrow Shall Dawn,Suici.De.spair,['Thy Light'],Thy Light,1,4,1,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
22,5f96dcec-50f8-47b7-9639-60672a9d3708,No Morrow Shall Dawn,Wanderer of Solitude,['Thy Light'],Thy Light,2,4,2,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
23,317d6689-e53b-4097-a784-b9dd7ea4b55a,No Morrow Shall Dawn,No Morrow Shall Dawn,['Thy Light'],Thy Light,3,4,3,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
24,67aa43a2-1162-4073-8e37-e4a4c9458407,No Morrow Shall Dawn,Corredor Seco,['Thy Light'],Thy Light,4,4,4,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
25,a88bc809-35ae-448a-920f-4c5160913adf,No Morrow Shall Dawn,The Bridge,['Thy Light'],Thy Light,5,4,5,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
26,07d08667-ef2c-444c-a2d4-fbe1293e04ae,Compendium,Suici.De.Pression (Introduction to My End),['Thy Light'],Thy Light,1,5,1,,2017-11-02,2017,481f362b-c733-4fc5-8109-aacc29bd30e6,baca95ec-b4df-4187-ba9c-45c6f7e6acff,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,,Compilation,1,,
27,3c344c3b-5bbf-45cb-8ab8-c431fc774049,Compendium,In My Last Mourning...,['Thy Light'],Thy Light,2,5,2,,2017-11-02,2017,481f362b-c733-4fc5-8109-aacc29bd30e6,baca95ec-b4df-4187-ba9c-45c6f7e6acff,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,,Compilation,1,,
28,b6ee36f7-5d6b-4d6b-ada0-198eedb0d597,Compendium,A Crawling Worm in a World of Lies,['Thy Light'],Thy Light,3,5,3,,2017-11-02,2017,481f362b-c733-4fc5-8109-aacc29bd30e6,baca95ec-b4df-4187-ba9c-45c6f7e6acff,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,,Compilation,1,,
29,987bbd78-f4e7-4a09-8363-97677961784b,Compendium,I Am the Bitter Taste of Gall,['Thy Light'],Thy Light,4,5,4,,2017-11-02,2017,481f362b-c733-4fc5-8109-aacc29bd30e6,baca95ec-b4df-4187-ba9c-45c6f7e6acff,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,,Compilation,1,,
30,e357c060-4f70-4e34-9625-a80e5e4d46e4,Compendium,... And I Finally Reach My End,['Thy Light'],Thy Light,5,5,5,,2017-11-02,2017,481f362b-c733-4fc5-8109-aacc29bd30e6,baca95ec-b4df-4187-ba9c-45c6f7e6acff,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,,Compilation,1,,
31,eb82bfa5-25ea-4ab6-b20c-bd0e65f0da8c,Suici.De.pression,Suici.De.pression (Introduction to My End),['Thy Light'],Thy Light,1,6,1,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
