,id,title,artist,album_artist,album,year,track,total_tracks
248,1fa91f14-bc54-499b-b969-51dfeec791fa,Die Hörner hoch,['Feuerschwanz'],Feuerschwanz,Methämmer,2018,4,20
249,826687c0-6de6-409b-bcb7-e1c2947238c8,"Blöde Frage, Saufgelage",['Feuerschwanz'],Feuerschwanz,Auf's Leben!,2014,5,20
250,b19402e5-284b-4edb-862b-4d7947921a26,Herz im Sturm,['Feuerschwanz'],Feuerschwanz,Auf's Leben!,2014,6,20
251,15e81801-55eb-454f-b4e7-21071d0206c7,Mach dich frei,['Feuerschwanz'],Feuerschwanz,Walhalligalli,2012,7,20
252,e5332cbe-da59-46ce-a322-be7be38b74b8,Ketzerei,['Feuerschwanz'],Feuerschwanz,Sex is Muss,2016,8,20
253,97c6e6ec-5dad-4dad-a552-8dd45203bf30,Methämmer,['Feuerschwanz'],Feuerschwanz,Methämmer,2018,9,20
254,1c0a5d4d-46b6-4ee5-86fd-25daeae620f9,Auf Wiederseh'n,['Feuerschwanz'],Feuerschwanz,Auf's Leben!,2014,10,20
255,e72980dd-0ac4-4021-8d17-0da17f0a9711,Hexenjagd,['Feuerschwanz'],Feuerschwanz,Sex is Muss,2016,11,20
256,7b7b0cfe-7856-4928-bc60-ea1c4eff7558,"Hurra, Hurra, die Pest ist da",['Feuerschwanz'],Feuerschwanz,10 Jahre Feuerschwanz Live,2015,12,20
257,96662990-1727-42f7-a1fe-0b650c20e42b,Johanna,['Feuerschwanz'],Feuerschwanz,Walhalligalli,2012,13,20
258,0853ecb9-295b-4033-93d2-8aa4c4219cfc,Wikingerblut,['Feuerschwanz'],Feuerschwanz,Methämmer,2018,14,20
259,98672504-bb51-484b-9ad7-f4cc5a3de18b,Metvernichter,['Feuerschwanz'],Feuerschwanz,10 Jahre Feuerschwanz Live,2015,15,20
260,58e93590-1c8c-4f6e-b401-a703300cd1d3,Wir lieben Dudelsack,['Feuerschwanz'],Feuerschwanz,10 Jahre Feuerschwanz Live,2015,16,20
261,fe401a2d-8e4b-45de-84f0-6dbcdaaed4aa,Met und Miezen,['Feuerschwanz'],Feuerschwanz,10 Jahre Feuerschwanz Live,2015,17,20
262,d9266084-0441-4463-8f79-fa9c957707c7,Krieger des Mets,['Feuerschwanz'],Feuerschwanz,Sex is Muss,2016,18,20
263,7bb7cc76-dd00-48d4-9b24-cefefe1324dc,Zuckerbrot und Peitsche,['Feuerschwanz'],Feuerschwanz,Auf's Leben!,2014,19,20
264,ef3d8aa8-3b5d-41d0-a280-c33ab8c08400,Das niemals endende Gelage,['Feuerschwanz'],Feuerschwanz,Walhalligalli,2012,20,20
265,82a049c5-a074-459a-aabf-13a19d5ae01f,Metfest,['Feuerschwanz'],Feuerschwanz,Metfest,2020,1,1
266,b1e06308-6a77-4068-b523-136d94e4305f,Das Elfte Gebot,['Feuerschwanz'],Feuerschwanz,Das Elfte Gebot,2020,1,1
