"filename", "language", "Python", "SQLite", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/__main__.py", "Python", 82, 0, 3, 26, 111
"/home/lars/Projects/music-downloader/src/audio/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/audio/song.py", "Python", 3, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/download.py", "Python", 56, 0, 11, 18, 85
"/home/lars/Projects/music-downloader/src/download_links.py", "Python", 30, 0, 11, 15, 56
"/home/lars/Projects/music-downloader/src/lyrics/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/lyrics/genius.py", "Python", 99, 0, 38, 35, 172
"/home/lars/Projects/music-downloader/src/lyrics_.py", "Python", 46, 0, 19, 23, 88
"/home/lars/Projects/music-downloader/src/metadata/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/metadata/database.py", "Python", 155, 0, 61, 38, 254
"/home/lars/Projects/music-downloader/src/metadata/database_structure.sql", "SQLite", 0, 51, 0, 6, 57
"/home/lars/Projects/music-downloader/src/metadata/download.py", "Python", 254, 0, 24, 63, 341
"/home/lars/Projects/music-downloader/src/metadata/object_handeling.py", "Python", 19, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/metadata/search.py", "Python", 253, 0, 40, 72, 365
"/home/lars/Projects/music-downloader/src/scraping/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/scraping/file_system.py", "Python", 40, 0, 0, 18, 58
"/home/lars/Projects/music-downloader/src/scraping/musify.py", "Python", 100, 0, 2, 35, 137
"/home/lars/Projects/music-downloader/src/scraping/phonetic_compares.py", "Python", 15, 0, 0, 8, 23
"/home/lars/Projects/music-downloader/src/scraping/youtube_music.py", "Python", 66, 0, 2, 19, 87
"/home/lars/Projects/music-downloader/src/url_to_path.py", "Python", 35, 0, 6, 18, 59
"/home/lars/Projects/music-downloader/src/utils/__init__.py", "Python", 1, 0, 1, 1, 3
"/home/lars/Projects/music-downloader/src/utils/object_handeling.py", "Python", 19, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/utils/phonetic_compares.py", "Python", 34, 0, 0, 15, 49
"/home/lars/Projects/music-downloader/src/utils/shared.py", "Python", 34, 0, 0, 11, 45
"Total", "-", 1341, 51, 218, 439, 2049
